id,NumOfCur,NumOfIncur,PerOfCur,PerOfIncur,NumOfVotes
10206,5,7,0.416667,0.583333,12
10208,6,1,0.857143,0.142857,7
10210,1,7,0.125000,0.875000,8
10212,16,45,0.262295,0.737705,61
10215,14,9,0.608696,0.391304,23
10217,13,3,0.812500,0.187500,16
10218,7,1,0.875000,0.125000,8
10222,1,0,1.000000,0.000000,1
10224,1,0,1.000000,0.000000,1
2033,42,7,0.857143,0.142857,49
2036,6,1,0.857143,0.142857,7
10234,2,0,1.000000,0.000000,2
2043,22,7,0.758621,0.241379,29
10237,1,0,1.000000,0.000000,1
10242,22,20,0.523810,0.476190,42
10243,3,14,0.176471,0.823529,17
10247,20,12,0.625000,0.375000,32
10250,6,8,0.428571,0.571429,14
10253,11,2,0.846154,0.153846,13
2062,12,10,0.545455,0.454545,22
2064,66,27,0.709677,0.290323,93
10257,5,11,0.312500,0.687500,16
10258,0,5,0.000000,1.000000,5
2067,1,2,0.333333,0.666667,3
2069,13,41,0.240741,0.759259,54
10266,1,0,1.000000,0.000000,1
10269,15,20,0.428571,0.571429,35
10272,5,23,0.178571,0.821429,28
10273,1,0,1.000000,0.000000,1
10275,6,17,0.260870,0.739130,23
10277,19,3,0.863636,0.136364,22
10280,2,0,1.000000,0.000000,2
10281,1,3,0.250000,0.750000,4
10284,2,0,1.000000,0.000000,2
2095,0,1,0.000000,1.000000,1
2096,6,6,0.500000,0.500000,12
10290,7,12,0.368421,0.631579,19
10291,1,13,0.071429,0.928571,14
2101,2,15,0.117647,0.882353,17
10295,82,32,0.719298,0.280702,114
10297,1,7,0.125000,0.875000,8
2106,6,7,0.461538,0.538462,13
8543,6,1,0.857143,0.142857,7
2109,9,15,0.375000,0.625000,24
2115,2,7,0.222222,0.777778,9
10318,1,8,0.111111,0.888889,9
10321,4,5,0.444444,0.555556,9
10322,2,4,0.333333,0.666667,6
10327,18,1,0.947368,0.052632,19
2140,30,24,0.555556,0.444444,54
2147,1,0,1.000000,0.000000,1
10355,1,5,0.166667,0.833333,6
10356,1,3,0.250000,0.750000,4
2170,31,47,0.397436,0.602564,78
9347,21,24,0.466667,0.533333,45
10373,28,38,0.424242,0.575758,66
10374,13,35,0.270833,0.729167,48
10375,2,0,1.000000,0.000000,2
2185,7,1,0.875000,0.125000,8
10378,26,49,0.346667,0.653333,75
10379,10,21,0.322581,0.677419,31
10384,3,5,0.375000,0.625000,8
10387,20,10,0.666667,0.333333,30
10391,50,66,0.431034,0.568966,116
10392,2,5,0.285714,0.714286,7
2201,13,1,0.928571,0.071429,14
10405,0,1,0.000000,1.000000,1
10414,0,1,0.000000,1.000000,1
2226,10,11,0.476190,0.523810,21
10419,0,2,0.000000,1.000000,2
10420,5,1,0.833333,0.166667,6
2230,43,15,0.741379,0.258621,58
10427,0,1,0.000000,1.000000,1
2238,6,15,0.285714,0.714286,21
2245,9,7,0.562500,0.437500,16
10444,0,1,0.000000,1.000000,1
2256,0,3,0.000000,1.000000,3
2261,1,7,0.125000,0.875000,8
2264,1,0,1.000000,0.000000,1
10459,4,3,0.571429,0.428571,7
10466,0,4,0.000000,1.000000,4
10469,1,5,0.166667,0.833333,6
2282,0,3,0.000000,1.000000,3
10475,34,27,0.557377,0.442623,61
10477,1,0,1.000000,0.000000,1
10479,5,10,0.333333,0.666667,15
10480,2,2,0.500000,0.500000,4
10486,8,23,0.258065,0.741935,31
10489,2,22,0.083333,0.916667,24
10492,2,4,0.333333,0.666667,6
10495,1,1,0.500000,0.500000,2
8577,1,2,0.333333,0.666667,3
10504,2,2,0.500000,0.500000,4
2313,0,1,0.000000,1.000000,1
2315,2,2,0.500000,0.500000,4
10509,1,0,1.000000,0.000000,1
10511,1,1,0.500000,0.500000,2
10513,1,5,0.166667,0.833333,6
2322,1,1,0.500000,0.500000,2
2323,2,1,0.666667,0.333333,3
2325,75,31,0.707547,0.292453,106
10519,9,11,0.450000,0.550000,20
10521,8,16,0.333333,0.666667,24
10523,11,0,1.000000,0.000000,11
10527,17,9,0.653846,0.346154,26
10536,0,3,0.000000,1.000000,3
10540,0,4,0.000000,1.000000,4
2349,4,1,0.800000,0.200000,5
10550,1,0,1.000000,0.000000,1
11316,2,0,1.000000,0.000000,2
10556,10,6,0.625000,0.375000,16
8587,30,14,0.681818,0.318182,44
10569,1,6,0.142857,0.857143,7
10571,2,0,1.000000,0.000000,2
2383,3,1,0.750000,0.250000,4
2384,1,1,0.500000,0.500000,2
10578,3,2,0.600000,0.400000,5
10579,1,0,1.000000,0.000000,1
2388,6,8,0.428571,0.571429,14
2394,7,5,0.583333,0.416667,12
10589,1,3,0.250000,0.750000,4
2400,2,5,0.285714,0.714286,7
2401,19,52,0.267606,0.732394,71
10594,1,2,0.333333,0.666667,3
11323,1,1,0.500000,0.500000,2
2405,1,4,0.200000,0.800000,5
10607,33,22,0.600000,0.400000,55
10608,6,4,0.600000,0.400000,10
2419,2,2,0.500000,0.500000,4
10612,4,24,0.142857,0.857143,28
2421,4,5,0.444444,0.555556,9
9961,5,4,0.555556,0.444444,9
10618,1,1,0.500000,0.500000,2
10624,2,0,1.000000,0.000000,2
10626,55,29,0.654762,0.345238,84
10631,0,4,0.000000,1.000000,4
10644,5,1,0.833333,0.166667,6
10646,17,7,0.708333,0.291667,24
10652,1,4,0.200000,0.800000,5
2463,43,3,0.934783,0.065217,46
10656,8,1,0.888889,0.111111,9
2466,0,1,0.000000,1.000000,1
10665,14,3,0.823529,0.176471,17
10669,1,0,1.000000,0.000000,1
2481,38,23,0.622951,0.377049,61
9971,1,2,0.333333,0.666667,3
10676,16,8,0.666667,0.333333,24
2486,0,1,0.000000,1.000000,1
2487,14,12,0.538462,0.461538,26
10683,1,0,1.000000,0.000000,1
10692,19,0,1.000000,0.000000,19
2505,1,3,0.250000,0.750000,4
2510,5,3,0.625000,0.375000,8
10705,15,3,0.833333,0.166667,18
2515,1,2,0.333333,0.666667,3
10712,0,7,0.000000,1.000000,7
10725,8,7,0.533333,0.466667,15
2535,17,7,0.708333,0.291667,24
10728,1,0,1.000000,0.000000,1
10731,14,4,0.777778,0.222222,18
8617,19,6,0.760000,0.240000,25
2556,4,18,0.181818,0.818182,22
10750,0,1,0.000000,1.000000,1
2559,21,22,0.488372,0.511628,43
